id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI
1835,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1488,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1517,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1848,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1884,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,5,"Zonas mineras, escombreras o de vertido",1,Urbano e infraestructuras,5,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
743,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
757,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,1,Tejido urbano,1,Urbano e infraestructuras,5,,
760,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
763,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
771,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
779,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
782,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1473,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1549,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1633,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1678,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1711,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1443,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1460,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1511,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1609,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,1,Tejido urbano,1,Urbano e infraestructuras,5,,
1769,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1821,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,24,Zonas en construccion,1,Urbano e infraestructuras,4,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,,
1433,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,11,Vegetacion riparia,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,,
1491,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,11,Vegetacion riparia,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,,
1567,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,11,Vegetacion riparia,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,,
1712,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,11,Vegetacion riparia,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,,
1797,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,11,Vegetacion riparia,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,,
1803,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,11,Vegetacion riparia,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,,
1819,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,11,Vegetacion riparia,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,,
1636,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1838,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
742,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
787,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
789,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1542,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1557,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1596,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1535,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1615,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1808,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
745,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,13,Masas de agua artificial,3,Zonas humedas,4,,
746,Laguna de la Gravera,Paraje Natural,Artificiales o modificados,IHA611002,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,,
