fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,areaNAT_m2
347190,911,MATORRAL DENSO,1361.990669759999946,16954.517685297876596,72,MATORRAL DENSO,"911",Matorral denso,20,16954.518,Vegetacion natural,Cobertura vegetal y suelos,5,1,16954.518
347196,911,MATORRAL DENSO,3471.167923219999921,105643.068135314621031,72,MATORRAL DENSO,"911",Matorral denso,20,105643.068,Vegetacion natural,Cobertura vegetal y suelos,5,1,105643.068
374373,915,MATORRAL DISPERSO CON PASTIZAL,351.525486657999977,7169.056319668888136,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,7169.056,Vegetacion natural,Cobertura vegetal y suelos,5,1,7169.056
374436,915,MATORRAL DISPERSO CON PASTIZAL,2442.718174009999984,170380.716656792908907,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,170380.717,Vegetacion natural,Cobertura vegetal y suelos,5,1,170380.717
374445,915,MATORRAL DISPERSO CON PASTIZAL,838.307044141999995,31602.565654592588544,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,31602.566,Vegetacion natural,Cobertura vegetal y suelos,5,1,31602.566
374464,915,MATORRAL DISPERSO CON PASTIZAL,2032.908520830000043,102978.203795836307108,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,102978.204,Vegetacion natural,Cobertura vegetal y suelos,5,1,102978.204
374509,915,MATORRAL DISPERSO CON PASTIZAL,1193.044492669999954,41184.973812110722065,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,41184.974,Vegetacion natural,Cobertura vegetal y suelos,5,1,41184.974
374638,915,MATORRAL DISPERSO CON PASTIZAL,3946.554840390000209,345356.972353191231377,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,345356.972,Vegetacion natural,Cobertura vegetal y suelos,5,1,345356.972
374652,915,MATORRAL DISPERSO CON PASTIZAL,2212.738569820000066,53742.563674055039883,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,53742.564,Vegetacion natural,Cobertura vegetal y suelos,5,1,53742.564
404307,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,2486.009675830000106,280950.481147987768054,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,280950.481,Vegetacion natural,Cobertura vegetal y suelos,5,1,280950.481
