id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,M_C_E_NAT,M_T_E_NAT,M_C_G_NAT,M_T_G_NAT,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI
2032,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,2,Zonas industriales y comerciales,1,Urbano e infraestructuras,5,2,Zonas industrial
2034,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2035,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2036,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2042,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2044,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2049,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur
2059,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2060,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2061,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"-1","-","-1","-","-1","-",,,,,17,Invernaderos,2,Agrario invernaderos,5,6,Zonas verdes y espacios de ocio,1,Urbano e infraestructuras,3,6,Zonas verdes y e
2069,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
2072,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,,,,,,,,,,,,,,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos,2,Agrario invernaderos,5,17,Invernaderos
